iter	Passed	Remaining
833	13456	2678
834	13469	2661
835	13483	2645
836	13496	2628
837	13510	2611
838	13524	2595
839	13537	2578
840	13549	2561
841	13567	2545
842	13588	2530
843	13604	2514
844	13619	2498
845	13635	2482
846	13658	2467
847	13679	2451
848	13705	2437
849	13724	2421
850	13745	2406
851	13761	2390
852	13778	2374
853	13794	2358
854	13809	2341
855	13822	2325
856	13836	2308
857	13849	2292
858	13861	2275
859	13875	2258
860	13894	2243
861	13910	2226
862	13926	2210
863	13941	2194
864	13955	2178
865	13968	2161
866	13982	2144
867	13994	2128
868	14007	2111
869	14020	2095
870	14032	2078
871	14044	2061
872	14057	2044
873	14070	2028
874	14083	2011
875	14096	1995
876	14109	1978
877	14121	1962
878	14134	1945
879	14147	1929
880	14159	1912
881	14173	1896
882	14185	1879
883	14198	1863
884	14212	1846
885	14224	1830
886	14236	1813
887	14248	1797
888	14260	1780
889	14273	1764
890	14285	1747
891	14298	1731
892	14311	1714
893	14322	1698
894	14334	1681
895	14346	1665
896	14359	1648
897	14372	1632
898	14383	1615
899	14396	1599
900	14408	1583
901	14420	1566
902	14432	1550
903	14444	1533
904	14456	1517
905	14468	1501
906	14480	1484
907	14492	1468
908	14504	1452
909	14516	1435
910	14529	1419
911	14541	1403
912	14553	1386
913	14567	1370
914	14579	1354
915	14591	1338
916	14604	1321
917	14617	1305
918	14629	1289
919	14641	1273
920	14654	1257
921	14667	1240
922	14681	1224
923	14699	1209
924	14717	1193
925	14733	1177
926	14745	1161
927	14760	1145
928	14774	1129
929	14789	1113
930	14803	1097
931	14818	1081
932	14833	1065
933	14851	1049
934	14870	1033
935	14891	1018
936	14913	1002
937	14936	987
938	14957	971
939	14979	956
940	15000	940
941	15017	924
942	15034	908
943	15048	892
944	15061	876
945	15073	860
946	15086	844
947	15099	828
948	15114	812
949	15169	798
950	15195	782
951	15213	767
952	15227	750
953	15241	734
954	15256	718
955	15269	702
956	15282	686
957	15295	670
958	15307	654
959	15319	638
960	15331	622
961	15343	606
962	15355	589
963	15368	573
964	15381	557
965	15393	541
966	15406	525
967	15419	509
968	15431	493
969	15443	477
970	15456	461
971	15468	445
972	15480	429
973	15493	413
974	15505	397
975	15518	381
976	15529	365
977	15541	349
978	15554	333
979	15566	317
980	15578	301
981	15590	285
982	15603	269
983	15615	253
984	15628	237
985	15643	222
986	15660	206
987	15674	190
988	15691	174
989	15709	158
990	15726	142
991	15751	127
992	15791	111
993	15837	95
994	15862	79
995	15888	63
996	15916	47
997	15957	31
998	16013	16
999	16055	0
